contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600,165.7142857,195.8333333,208.6666667,162.4285714,182,194.1666667,159.5,171.5,185.3333333,157,170,181.8333333,157.1666667,168.8333333,176.6666667
600-1200,131.4285714,156,170.1666667,130,154.3333333,161.1666667,123.1666667,142.1666667,145.1666667,120.5,139.8333333,147,119.3333333,131,140.5
1200-1800,94,116.3333333,128,85.71428571,107.5,116.6666667,82,98.5,105.1666667,83.33333333,93.83333333,99.33333333,78,88,93.5
1800-2400,83.71428571,105.8333333,115.3333333,75,92.16666667,101.3333333,71.66666667,82.66666667,88.83333333,67.5,79.66666667,88,60.33333333,76.33333333,81.33333333
2400-3000,77.71428571,95.33333333,106.5,70.28571429,83.33333333,94.83333333,65.5,74.16666667,83.16666667,58.16666667,69.5,75,62.83333333,67.66666667,71.83333333
3000-3600,72.28571429,100.5,112.3333333,70.85714286,89.66666667,94.33333333,56.83333333,67,76.33333333,52.5,71.16666667,72.16666667,54.5,66.66666667,68.16666667
3600-4200,75.14285714,104.1666667,112.5,67.71428571,76.33333333,89,58.83333333,79.83333333,87.83333333,50.5,66.33333333,71.83333333,46.33333333,62.5,72.33333333
4200-4800,87.42857143,112.8333333,125.8333333,64.57142857,84,98.16666667,57.5,78,77.83333333,54.33333333,69.66666667,78.5,48.33333333,60.83333333,66.5
4800-5400,88.71428571,127.1666667,126.6666667,68,92.66666667,100.3333333,60,74.33333333,90.83333333,57.83333333,66.66666667,80.5,47.66666667,61.5,64.33333333
5400-6000,103.1428571,127.3333333,154,80.14285714,101.5,119,66.66666667,88.5,91,63.5,73.5,82.83333333,55.83333333,65,68
6000-6600,118.1428571,150.6666667,175.3333333,83.85714286,116,135.5,73,85.5,98.83333333,68.33333333,74.66666667,87.5,57.16666667,72,77.83333333
6600-7200,129.8571429,185.5,213.3333333,83.42857143,117.3333333,153.1666667,79.16666667,97.33333333,106.3333333,60.66666667,87.5,94.16666667,59.33333333,76.66666667,87.83333333
7200-7800,132.5714286,194.8333333,237.8333333,107.1428571,118.1666667,170.3333333,85.16666667,114.6666667,126,67.33333333,92.83333333,98.83333333,66.16666667,76.66666667,89
7800-8400,158.2857143,213.5,242.6666667,102.1428571,131.8333333,174.8333333,95.16666667,131.5,139,82.16666667,101.8333333,117.6666667,69.66666667,90.5,102
