contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600,91383.28571,90918.33333,91332.16667,91437.14286,91723.66667,91333.33333,91167.83333,91306.83333,91524.33333,90909.83333,91129.33333,91317.66667,91055.33333,90883.16667,91355.66667
600-1200,93635.28571,93174.66667,94327.83333,94794.85714,94376,93916.33333,92137.16667,93124.16667,93324.83333,92620.83333,92866.16667,93432.33333,93281.33333,93197.16667,93929.33333
1200-1800,101976.4286,103935,105393.5,104383.2857,106871.5,105692.8333,101497,103560.1667,104778.8333,116667.1667,99436.16667,104108.6667,115540.6667,99719.33333,98965.83333
1800-2400,117692.8571,120117.3333,116751.6667,120213.5714,117231.3333,116331.6667,117276.5,121201.5,114970.6667,123926.3333,116865,114579.1667,129458.8333,115219.6667,111560.6667
2400-3000,137636.4286,135033.3333,142925.5,141983.8571,144974.3333,129972.3333,145962,124669.6667,133809.5,145116,129304.6667,131863.1667,149041.3333,125404.6667,132116.3333
3000-3600,169776.1429,157053.3333,159252.1667,162961.1429,167741.6667,159410.6667,161187.6667,154972.5,146119.8333,153627.5,151549.6667,162820,154326.8333,165624.5,152997.3333
3600-4200,193643.2857,200387.8333,213140.1667,194729.4286,205695.5,183311,197250.8333,199069.6667,190168.1667,162320.6667,184874.8333,176236.3333,179409.5,181255.5,202295.5
4200-4800,227566.8571,260464,230787.1667,223367,219048.6667,212373.6667,225098.5,240167.8333,225076,204666.5,238726.1667,223889.3333,217271.8333,219901,240819
4800-5400,276432.8571,272111,278578.5,261084.8571,260343.6667,297318.8333,290567.3333,232856.3333,252824,236969.8333,316109.1667,275835.1667,245469.3333,223795.8333,216959
5400-6000,354917.5714,286304.8333,364229.5,312858,300945.5,336358.5,294662.6667,340502,281687.6667,332646,282756.1667,276087.8333,305969.6667,276339.5,256594
6000-6600,431720.7143,405514.1667,444302.1667,365683.2857,383677.5,370941.1667,391628.1667,349801,310139.6667,373391.8333,330099.6667,346861,397977.5,304213.1667,364343.1667
6600-7200,498635.2857,576877,524089.8333,416557.8571,432096.8333,458757.1667,426630.8333,451423.6667,372706.8333,446647.8333,385278.8333,385321.6667,366797.8333,469922.3333,361275.1667
7200-7800,513834.7143,572346.8333,563954.1667,537172.5714,502813.3333,602301.6667,543117.5,549986.6667,576089.8333,534761,467700.3333,476394.3333,432986.3333,482160.1667,436346.1667
7800-8400,698958.1429,636899.6667,666316.5,583010.5714,555860.5,633741.6667,583802.5,561623.3333,537951.6667,669587,696945.1667,563830.5,610726.1667,483257.6667,619639.3333
