contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 90953.57142857142, 90411.5, 90842.5, 90697.85714285714, 91095.83333333333, 90645.33333333333, 90576.83333333334, 90743.5, 90986.16666666667, 90602.66666666667, 90719.66666666666, 90540.0, 90540.0, 90760.66666666667, 90706.66666666667
600-1200, 92310.28571428571, 92045.66666666667, 92562.5, 93621.14285714286, 93037.83333333333, 92080.83333333333, 91276.0, 91688.66666666667, 91802.5, 91608.66666666666, 91706.0, 91792.5, 92289.16666666667, 91954.66666666667, 92246.83333333333
1200-1800, 96831.71428571429, 97897.66666666667, 99347.66666666667, 97169.57142857142, 98610.16666666667, 99635.0, 96251.5, 97592.66666666667, 94738.66666666667, 101524.66666666667, 95258.33333333333, 96573.0, 97860.66666666667, 95221.5, 93841.5
1800-2400, 106740.28571428572, 107174.0, 105150.0, 111371.85714285714, 108291.83333333333, 104376.5, 105812.83333333334, 104416.83333333333, 102589.66666666666, 108816.33333333333, 103055.16666666667, 106309.16666666666, 99969.66666666666, 103537.33333333334, 99399.33333333333
2400-3000, 117110.28571428571, 112235.33333333333, 117105.33333333333, 119295.00000000001, 111848.16666666667, 112636.66666666667, 115405.16666666666, 109809.16666666667, 109797.66666666667, 112431.16666666666, 107751.0, 109146.83333333334, 128617.0, 110290.5, 108680.83333333334
3000-3600, 126522.57142857142, 128835.16666666667, 129548.83333333333, 139500.2857142857, 136163.0, 124326.0, 119469.66666666666, 116407.16666666667, 116128.66666666667, 115475.33333333333, 124653.5, 119507.16666666667, 125382.5, 123685.83333333334, 118344.0
3600-4200, 142375.2857142857, 149778.0, 142601.16666666666, 143862.14285714287, 132540.66666666666, 129805.83333333333, 137057.83333333334, 146352.8333333333, 145820.1666666667, 125964.83333333333, 129225.5, 127472.66666666667, 120488.16666666667, 127739.66666666667, 138355.6666666667
4200-4800, 166408.42857142858, 172132.3333333333, 165812.16666666666, 150989.14285714284, 149582.33333333334, 151272.5, 142536.6666666667, 155100.33333333334, 142371.0, 142275.0, 149229.33333333334, 151114.5, 136060.1666666667, 135590.33333333334, 137944.6666666667
4800-5400, 186323.85714285716, 195953.16666666666, 178994.33333333334, 169269.2857142857, 178112.3333333333, 170168.33333333334, 161178.5, 160184.5, 176136.6666666667, 174297.0, 155911.6666666667, 171798.6666666667, 149212.8333333333, 149816.1666666667, 147164.3333333333
5400-6000, 228064.42857142858, 205757.3333333333, 231795.0, 208809.57142857145, 199633.16666666666, 211610.16666666666, 186298.66666666666, 193385.5, 184064.0, 200952.0, 174477.66666666666, 185628.83333333334, 180970.83333333334, 170931.83333333334, 157847.0
6000-6600, 278776.0, 263478.6666666667, 269721.3333333333, 234879.71428571426, 247228.6666666667, 239747.33333333334, 227227.3333333333, 201250.16666666666, 210309.5, 219379.8333333333, 199058.5, 196962.66666666666, 197657.16666666666, 193793.66666666666, 192403.0
6600-7200, 313662.5714285714, 335480.1666666667, 332433.5, 241586.57142857142, 261695.5, 273346.1666666666, 262808.3333333333, 243778.66666666666, 242143.5, 217676.66666666666, 239056.66666666666, 239001.83333333334, 219724.3333333333, 220525.16666666666, 234734.33333333334
7200-7800, 331019.71428571426, 368755.8333333334, 390719.5, 312161.1428571429, 272881.8333333333, 335330.5, 283854.1666666666, 292354.1666666667, 294090.3333333334, 248906.33333333334, 264941.5, 251950.6666666667, 253770.16666666666, 234796.0, 239199.16666666666
7800-8400, 413991.5714285714, 407285.1666666667, 413833.6666666667, 327878.5714285714, 323264.5, 354011.8333333333, 332209.6666666666, 347389.8333333334, 332599.6666666667, 321846.0, 312948.5, 307759.0, 281540.5, 289093.6666666666, 291196.0
