contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600,167.8571429,197.5,210.8333333,164.7142857,184.1666667,197,161.5,173.3333333,187.3333333,158.6666667,171.8333333,183.8333333,159,170.3333333,178.6666667
600-1200,134.2857143,159.1666667,173.5,132.8571429,157.5,165.1666667,125.1666667,144.8333333,148.3333333,123,142.5,150.6666667,121.8333333,134,143.8333333
1200-1800,100.1428571,125.3333333,136.3333333,92.42857143,117.5,124.8333333,87.33333333,105.8333333,116.6666667,96.33333333,99.33333333,108,93.16666667,93.16666667,99.83333333
1800-2400,94,120.5,128,83.14285714,101.8333333,113.5,80.33333333,98.5,100.6666667,78.5,90.83333333,96.16666667,79.16666667,86.66666667,92.83333333
2400-3000,92.71428571,115.5,133.5,85,108.3333333,110.1666667,83,86.33333333,100.6666667,75.83333333,84,94.16666667,74.33333333,78.5,87.83333333
3000-3600,97.42857143,122,137.1666667,84.28571429,111.6666667,124.1666667,78,92.33333333,96.83333333,71.83333333,88,100,69.33333333,89.83333333,87.83333333
3600-4200,104,140.3333333,166,92.71428571,121.1666667,126.6666667,85,110.3333333,116,67,95.83333333,98.5,69,88.16666667,107.1666667
4200-4800,118.4285714,174.1666667,177,97.14285714,124.8333333,137.1666667,88.5,121.1666667,122.8333333,77.83333333,112.5,117.1666667,78.16666667,98.33333333,116.6666667
4800-5400,133.7142857,175.5,193.6666667,106,132.5,177.1666667,105.8333333,107.3333333,131.5,81,135.1666667,129.6666667,79.5,90.83333333,97.33333333
5400-6000,158.4285714,177.6666667,241.5,118.2857143,152.6666667,186.8333333,102.5,153.5,139,106.1666667,118.5,123.5,92.33333333,104.1666667,110.8333333
6000-6600,179.5714286,236.6666667,289,131.4285714,181.3333333,207.5,124.1666667,148.3333333,145.3333333,117,126.8333333,151.5,111.8333333,110.5,145.6666667
6600-7200,205,312.5,333,139,193.8333333,248.1666667,130,179.8333333,163.6666667,125.5,141.5,153.3333333,98.83333333,157.8333333,135.6666667
7200-7800,205.5714286,299.6666667,343.5,178.8571429,214,307,158.1666667,211.3333333,242.6666667,140.1666667,160.1666667,184.5,111.8333333,154.8333333,159.6666667
7800-8400,263.5714286,332.6666667,391.1666667,181.1428571,230.6666667,305.8333333,162,209.6666667,220,169.1666667,228.8333333,210.3333333,148.8333333,149.5,209.1666667
