contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 1.2857142857142856, 2.0, 2.666666666666667, 1.4285714285714286, 2.1666666666666665, 2.333333333333333, 1.1666666666666665, 1.3333333333333333, 1.8333333333333335, 1.0, 1.1666666666666665, 1.8333333333333335, 1.0, 1.1666666666666665, 1.5
600-1200, 1.5714285714285714, 2.5, 3.0, 3.571428571428571, 2.833333333333333, 2.5, 1.3333333333333333, 1.8333333333333333, 2.3333333333333335, 1.0, 1.5, 2.166666666666667, 1.0, 1.5, 2.1666666666666665
1200-1800, 3.857142857142857, 7.833333333333334, 7.166666666666667, 5.000000000000001, 7.833333333333333, 8.166666666666666, 2.8333333333333335, 5.666666666666667, 9.166666666666666, 11.833333333333332, 3.166666666666667, 6.500000000000001, 13.0, 3.3333333333333335, 3.666666666666667
1800-2400, 8.142857142857142, 13.833333333333334, 9.833333333333332, 8.571428571428571, 11.166666666666666, 9.5, 9.166666666666666, 13.333333333333334, 10.833333333333332, 10.333333333333332, 9.666666666666668, 7.5, 16.166666666666664, 9.0, 8.666666666666668
2400-3000, 13.571428571428571, 17.166666666666668, 25.333333333333336, 14.142857142857142, 22.5, 13.666666666666666, 19.166666666666668, 10.333333333333334, 16.0, 15.5, 13.333333333333332, 16.166666666666664, 11.833333333333332, 9.0, 13.333333333333334
3000-3600, 23.142857142857142, 19.0, 21.666666666666664, 19.0, 25.5, 26.666666666666668, 17.833333333333336, 21.833333333333336, 18.0, 16.333333333333332, 17.0, 24.333333333333332, 14.833333333333334, 23.0, 17.5
3600-4200, 25.142857142857142, 35.166666666666664, 51.333333333333336, 26.571428571428573, 41.33333333333333, 33.66666666666667, 23.666666666666664, 31.666666666666664, 34.333333333333336, 14.166666666666666, 27.0, 23.333333333333332, 19.833333333333336, 24.5, 38.666666666666664
4200-4800, 27.142857142857142, 61.333333333333336, 48.5, 30.571428571428573, 37.66666666666667, 36.16666666666667, 27.833333333333332, 44.166666666666664, 41.66666666666667, 22.0, 43.5, 41.833333333333336, 26.666666666666664, 35.5, 47.33333333333333
4800-5400, 43.142857142857146, 43.83333333333333, 63.0, 34.57142857142857, 37.833333333333336, 75.0, 42.66666666666667, 30.166666666666668, 43.33333333333333, 25.833333333333332, 67.16666666666667, 52.666666666666664, 28.666666666666668, 26.166666666666664, 28.666666666666664
5400-6000, 52.285714285714285, 45.66666666666667, 83.33333333333334, 35.85714285714286, 50.16666666666667, 69.66666666666667, 34.166666666666664, 64.5, 44.333333333333336, 40.16666666666667, 41.833333333333336, 41.833333333333336, 33.166666666666664, 36.333333333333336, 39.33333333333333
6000-6600, 60.57142857142857, 81.5, 113.5, 44.0, 63.0, 67.5, 48.33333333333333, 60.833333333333336, 42.166666666666664, 48.0, 48.166666666666664, 60.0, 53.833333333333336, 36.166666666666664, 65.66666666666666
6600-7200, 71.14285714285714, 127.83333333333334, 118.66666666666666, 53.714285714285715, 73.5, 94.5, 47.16666666666667, 78.83333333333333, 55.0, 61.666666666666664, 55.16666666666667, 59.0, 36.0, 77.83333333333333, 45.0
7200-7800, 68.0, 100.16666666666666, 108.16666666666667, 67.85714285714285, 91.33333333333334, 134.0, 70.0, 95.33333333333333, 118.00000000000001, 70.66666666666666, 66.16666666666667, 81.83333333333333, 45.33333333333333, 75.83333333333334, 67.0
7800-8400, 100.57142857142857, 116.33333333333333, 155.0, 76.14285714285714, 94.66666666666667, 129.0, 66.16666666666667, 83.66666666666667, 85.33333333333333, 84.0, 127.0, 93.5, 75.66666666666667, 58.33333333333333, 105.5
