contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 1.5, 1.0, 2.0, 2.0, 1.5, 1.0, 1.0, 1.0, 2.0, 1.5, 2.0, 1.0, 3.0, 4.0, 3.5
600-1200, 3.0, 4.5, 3.0, 3.5, 5.0, 6.5, 3.0, 3.5, 3.0, 2.5, 4.0, 5.0, 3.0, 6.0, 3.0
1200-1800, 5.5, 6.5, 6.0, 6.0, 7.5, 6.5, 7.0, 7.5, 6.5, 6.0, 8.0, 8.5, 6.5, 5.0, 11.5
1800-2400, 6.5, 7.5, 8.5, 8.5, 11.0, 8.5, 7.0, 10.5, 9.5, 10.5, 14.0, 8.5, 10.0, 11.5, 11.5
2400-3000, 10.0, 11.0, 9.0, 10.5, 11.0, 10.5, 10.0, 12.0, 16.0, 13.0, 16.5, 17.5, 13.0, 12.5, 16.5
3000-3600, 12.0, 11.5, 13.0, 11.5, 16.0, 14.0, 14.5, 14.0, 19.0, 15.5, 12.5, 20.0, 16.0, 17.0, 24.0
3600-4200, 12.0, 12.0, 13.5, 14.5, 15.5, 15.0, 12.0, 15.0, 16.5, 17.5, 22.0, 24.5, 17.0, 24.5, 27.5
4200-4800, 13.0, 15.0, 12.0, 18.5, 18.0, 18.5, 18.5, 19.5, 19.0, 19.5, 19.5, 25.5, 16.0, 22.0, 21.0
4800-5400, 13.5, 13.5, 13.5, 15.0, 16.5, 19.5, 19.5, 22.5, 18.0, 20.0, 24.0, 24.0, 18.0, 27.0, 25.5
5400-6000, 12.5, 16.0, 16.5, 17.5, 18.5, 23.5, 20.0, 18.5, 23.0, 19.5, 26.0, 31.0, 21.5, 25.0, 25.5
6000-6600, 14.5, 17.0, 17.0, 19.5, 18.5, 19.0, 20.0, 24.0, 21.5, 27.0, 30.0, 31.5, 21.5, 28.5, 32.5
6600-7200, 13.5, 17.5, 16.0, 18.5, 23.0, 22.5, 24.0, 28.0, 21.0, 24.0, 27.0, 31.0, 29.5, 31.0, 30.5
7200-7800, 16.0, 18.0, 16.0, 18.5, 20.5, 22.5, 25.0, 28.5, 29.5, 26.5, 31.5, 31.5, 26.5, 34.0, 32.5
7800-8400, 17.0, 15.5, 15.5, 22.5, 23.5, 22.0, 22.5, 24.5, 31.5, 26.5, 31.0, 34.0, 31.5, 35.0, 34.5
