Contact frequency, Convergence speed, Last block timestamp, Number of blockchain, Length of the longest blockchain, Block index that difference occurred, The last block contains transactions
0-600, 86281, 89477, 2, 163, 162, 154
600-1200, 87799, 89477, 4, 128, 126, 123
1200-1800, 92553, 94949, 4, 95, 93, 92
1800-2400, 100409, 117857, 10, 96, 89, 81
2400-3000, 111698, 130388, 8, 87, 80, 73
3000-3600, 122525, 153257, 10, 96, 80, 76
3600-4200, 130558, 203061, 10, 102, 79, 64
4200-4800, 151932, 212653, 10, 113, 86, 78
4800-5400, 185086, 231759, 12, 113, 93, 89
5400-6000, 214981, 294363, 15, 127, 106, 91
6000-6600, 306039, 465213, 15, 191, 157, 122
6600-7200, 292330, 486266, 11, 202, 156, 127
7200-7800, 336113, 472370, 15, 188, 136, 130
7800-8400, 324111, 849917, 12, 316, 281, 118
