Contact frequency, Convergence speed, Last block timestamp, Number of blockchain, Length of the longest blockchain, Block index that difference occurred, The last block contains transactions
0-600, 86281, 89477, 2, 168, 167, 159
600-1200, 86400, 89477, 3, 132, 131, 125
1200-1800, 89477, 91890, 4, 93, 91, 90
1800-2400, 102380, 108190, 7, 92, 88, 86
2400-3000, 103376, 144133, 8, 98, 90, 70
3000-3600, 111698, 145929, 8, 95, 82, 70
3600-4200, 124858, 159379, 11, 86, 74, 67
4200-4800, 150003, 263461, 11, 132, 114, 78
4800-5400, 202437, 256820, 12, 127, 108, 96
5400-6000, 218126, 435630, 13, 195, 164, 100
6000-6600, 287500, 417953, 15, 175, 135, 119
6600-7200, 314521, 385001, 15, 158, 135, 131
7200-7800, 409965, 638638, 16, 243, 199, 156
7800-8400, 403625, 562058, 16, 233, 200, 167
