Contact frequency, Convergence speed, Last block timestamp, Number of blockchain, Length of the longest blockchain, Block index that difference occurred, The last block contains transactions
0-600, 86281, 89477, 2, 168, 167, 159
600-1200, 86281, 89477, 2, 168, 167, 159
1200-1800, 87092, 89477, 5, 125, 124, 121
1800-2400, 88372, 89477, 5, 111, 109, 107
2400-3000, 88372, 88569, 1, 98, None, 96
3000-3600, 97267, 103955, 3, 108, 106, 100
3600-4200, 92553, 92553, 1, 91, None, 90
4200-4800, 91836, 95576, 1, 79, None, 76
4800-5400, 97267, 97456, 1, 82, None, 80
5400-6000, 96128, 96469, 1, 74, None, 72
6000-6600, 112258, 112258, 1, 86, None, 85
6600-7200, 115312, 122667, 3, 89, 88, 84
7200-7800, 103394, 108190, 1, 76, None, 72
7800-8400, 117857, 125572, 2, 84, 80, 79
