Contact frequency, Convergence speed, Last block timestamp, Number of blockchain, Length of the longest blockchain, Block index that difference occurred, The last block contains transactions
0-600, 86281, 89477, 2, 168, 167, 159
600-1200, 86566, 89477, 4, 140, 138, 135
1200-1800, 92553, 96469, 5, 93, 91, 89
1800-2400, 106071, 118431, 8, 96, 90, 84
2400-3000, 117626, 140003, 11, 103, 92, 86
3000-3600, 124822, 145458, 11, 94, 84, 82
3600-4200, 145458, 200048, 15, 111, 100, 81
4200-4800, 176441, 239437, 14, 127, 117, 90
4800-5400, 187397, 290506, 12, 149, 98, 95
5400-6000, 250272, 335772, 14, 154, 129, 119
6000-6600, 253986, 368113, 13, 166, 133, 115
6600-7200, 305596, 438404, 16, 176, 134, 126
7200-7800, 349346, 554666, 13, 232, 180, 148
7800-8400, 394372, 623045, 17, 238, 177, 159
