Contact frequency, Convergence speed, Last block timestamp, Number of blockchain, Length of the longest blockchain, Block index that difference occurred, The last block contains transactions
0-600, 86281, 89477, 2, 168, 167, 159
600-1200, 88372, 89477, 3, 127, 125, 123
1200-1800, 99100, 102933, 5, 98, 95, 93
1800-2400, 96748, 108190, 8, 83, 75, 73
2400-3000, 114175, 141906, 9, 92, 76, 73
3000-3600, 126037, 160075, 14, 92, 76, 72
3600-4200, 141718, 201030, 15, 109, 92, 76
4200-4800, 150668, 245593, 14, 126, 106, 82
4800-5400, 199861, 339668, 11, 159, 138, 98
5400-6000, 247993, 364909, 14, 167, 128, 117
6000-6600, 263461, 475466, 18, 203, 170, 115
6600-7200, 219896, 436326, 14, 168, 125, 87
7200-7800, 336794, 567680, 16, 213, 179, 129
7800-8400, 350572, 680810, 18, 266, 211, 144
