Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions
0-600, 86281, 89477, 2, 168, 167, 159
600-1200, 88372, 89477, 5, 122, 121, 119
1200-1800, 92553, 96469, 4, 99, 96, 94
1800-2400, 100893, 110117, 6, 84, 80, 77
2400-3000, 111698, 129646, 9, 96, 91, 83
3000-3600, 128003, 162759, 13, 100, 91, 79
3600-4200, 141718, 166227, 13, 92, 79, 77
4200-4800, 195701, 239129, 12, 121, 106, 96
4800-5400, 182728, 244535, 15, 119, 100, 89
5400-6000, 210134, 304900, 17, 140, 104, 97
6000-6600, 195701, 377923, 12, 172, 146, 97
6600-7200, 277819, 377029, 15, 158, 128, 122
7200-7800, 324632, 483066, 16, 193, 137, 123
7800-8400, 397412, 593056, 16, 221, 167, 149
