Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions
0-600, 86281, 89477, 2, 168, 167, 159
600-1200, 88996, 89477, 2, 124, 123, 122
1200-1800, 90271, 115878, 6, 116, 112, 90
1800-2400, 101442, 116569, 6, 93, 88, 81
2400-3000, 114175, 139696, 8, 97, 87, 76
3000-3600, 118872, 177906, 11, 109, 101, 77
3600-4200, 138901, 165034, 14, 89, 79, 77
4200-4800, 154216, 199355, 17, 102, 88, 81
4800-5400, 190375, 285055, 15, 131, 104, 88
5400-6000, 211822, 315676, 14, 146, 112, 101
6000-6600, 274530, 578637, 18, 228, 186, 115
6600-7200, 336113, 524153, 16, 209, 181, 139
7200-7800, 393058, 636668, 15, 258, 219, 164
7800-8400, 433383, 613582, 12, 257, 206, 178
