Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions
0-600, 90082, 90082, 1, 163, None, 162
0-600, 91377, 92780, 2, 170, 169, 167
600-1200, 93131, 93769, 2, 128, 127, 125
1200-1800, 100393, 120898, 4, 115, 112, 95
1800-2400, 102763, 113438, 12, 86, 81, 77
2400-3000, 122683, 145222, 10, 97, 86, 83
3000-3600, 124229, 151523, 12, 95, 83, 76
3600-4200, 131641, 168028, 12, 91, 79, 70
4200-4800, 168068, 206737, 14, 95, 79, 78
4800-5400, 213730, 277541, 14, 127, 102, 95
5400-6000, 229955, 307875, 15, 139, 105, 100
6000-6600, 231678, 334101, 14, 134, 104, 94
6600-7200, 318737, 585752, 15, 243, 193, 132
7200-7800, 370366, 491015, 15, 183, 151, 138
7800-8400, 414819, 663204, 15, 243, 164, 153
0-600, 91203, 92030, 2, 171, 170, 169
600-1200, 91398, 92439, 2, 139, 138, 136
1200-1800, 96609, 103480, 6, 101, 98, 93
1800-2400, 109302, 116141, 9, 90, 85, 84
2400-3000, 124446, 138447, 9, 97, 92, 87
3000-3600, 125572, 142246, 10, 81, 73, 70
3600-4200, 165246, 206598, 11, 116, 98, 92
4200-4800, 158110, 209699, 12, 110, 90, 78
4800-5400, 185497, 326786, 13, 144, 119, 83
5400-6000, 198002, 292316, 12, 138, 103, 92
6000-6600, 234168, 391281, 16, 167, 134, 100
6600-7200, 318047, 405253, 13, 169, 126, 124
7200-7800, 334953, 499897, 12, 202, 169, 136
7800-8400, 408479, 536542, 15, 203, 162, 151
