Contact frequency, Convergence speed, Last block timestamp, Number of blockchain, Length of the longest blockchain, Block index that difference occurred, The last block contains transactions
0-600, 86281, 89477, 2, 168, 167, 159
600-1200, 88372, 89477, 5, 110, 109, 107
1200-1800, 92553, 93179, 1, 96, None, 94
1800-2400, 92553, 102802, 4, 96, 94, 86
2400-3000, 96748, 100878, 1, 84, None, 79
3000-3600, 98112, 111226, 2, 89, 86, 79
3600-4200, 114175, 115878, 1, 81, None, 78
4200-4800, 96748, 99045, 1, 67, None, 64
4800-5400, 103394, 111226, 2, 76, 73, 70
5400-6000, 108061, 113691, 1, 73, None, 69
6000-6600, 126037, 138210, 1, 89, None, 80
6600-7200, 108061, 114297, 1, 72, None, 67
7200-7800, 124888, 131432, 1, 78, None, 73
7800-8400, 118347, 133014, 1, 79, None, 70
