Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions
12000-12600, 815148, 1203451, 17, 402, 282, 274
18000-18600, 1879924, 3531826, 18, 1016, 791, 551
24000-24600, 2929211, 5660121, 19, 1495, 1145, 801
30000-30600, 4302731, 8709795, 19, 2274, 1272, 1156
36000-36600, 6149758, 9867600, 17, 2435, 1561, 1521
42000-42600, 6901526, 15673554, 19, 3877, 2885, 1704
48000-48600, 14111580, 31606362, 19, 7225, 4642, 3307
54000-54600, 11457828, 22083811, 18, 5191, 3373, 2840
60000-60600, 15986113, 26399905, 18, 6316, 4794, 3831
66000-66600, 24633212, 37209391, 18, 8932, 6076, 5942
72000-72600, 23773258, 63447939, 19, 14225, 10176, 5497
78000-78600, 32933020, 47230262, 19, 11123, 8434, 7781
