contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 166.4, 197.0, 206.75, 162.8, 180.0, 192.0, 160.25, 172.0, 185.75, 157.75, 171.5, 181.25, 157.0, 172.0, 178.5
600-1200, 130.6, 156.75, 171.0, 128.8, 154.0, 158.75, 122.75, 143.25, 148.5, 122.25, 140.25, 148.5, 118.75, 129.25, 139.25
1200-1800, 93.2, 116.75, 128.5, 88.2, 107.75, 119.25, 82.75, 99.25, 102.5, 84.25, 93.5, 98.0, 75.0, 87.75, 94.0
1800-2400, 84.6, 109.0, 117.25, 75.8, 87.25, 102.0, 73.5, 83.25, 89.25, 66.5, 78.75, 87.0, 59.25, 74.0, 81.0
2400-3000, 78.8, 97.5, 109.0, 67.8, 83.25, 96.75, 66.0, 75.25, 81.5, 58.0, 69.0, 75.75, 67.25, 69.25, 71.5
3000-3600, 73.2, 100.25, 109.25, 71.4, 95.5, 93.25, 56.5, 66.0, 76.0, 54.25, 72.0, 72.25, 53.0, 68.25, 70.5
3600-4200, 76.6, 110.0, 114.75, 70.4, 76.0, 89.75, 57.0, 82.5, 94.0, 49.0, 66.0, 69.75, 46.5, 63.0, 66.25
4200-4800, 90.6, 112.75, 123.75, 65.2, 84.25, 100.75, 58.25, 68.5, 78.5, 52.0, 70.0, 80.5, 47.5, 62.25, 67.5
4800-5400, 89.2, 126.5, 127.5, 70.0, 91.25, 102.0, 61.0, 73.75, 85.5, 60.0, 69.25, 85.75, 49.25, 60.5, 64.75
5400-6000, 101.0, 130.25, 150.5, 78.0, 107.75, 116.75, 63.25, 85.25, 93.75, 62.5, 75.5, 84.5, 56.0, 65.75, 67.5
6000-6600, 114.0, 148.75, 169.0, 82.8, 114.5, 137.25, 73.5, 85.25, 105.25, 71.5, 78.5, 88.5, 60.25, 72.5, 77.0
6600-7200, 134.0, 177.0, 218.5, 82.2, 119.5, 170.0, 78.5, 99.75, 106.0, 61.75, 90.0, 92.75, 55.75, 75.75, 92.75
7200-7800, 130.6, 193.5, 225.0, 104.6, 118.0, 172.75, 86.0, 119.75, 124.5, 64.5, 87.75, 103.25, 64.25, 75.0, 88.5
7800-8400, 153.0, 211.75, 234.0, 106.8, 124.25, 191.75, 96.75, 136.25, 136.75, 76.75, 99.75, 121.0, 72.5, 89.5, 100.5
