contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 90915.6, 90591.75, 90770.25, 90611.0, 90958.75, 90642.0, 90632.0, 90956.25, 90691.75, 90539.5, 90428.5, 90593.5, 90585.25, 90891.25, 91001.5
600-1200, 92339.2, 91831.0, 92069.5, 91839.2, 92075.75, 92372.0, 91439.0, 91589.25, 91897.0, 91733.25, 91880.75, 92085.75, 92076.5, 92267.75, 92550.25
1200-1800, 96995.4, 97145.75, 101058.0, 97892.6, 98856.75, 102225.0, 96424.5, 98620.0, 94478.25, 102857.75, 95173.75, 97367.0, 95712.75, 95187.5, 93644.75
1800-2400, 108017.2, 108151.5, 105409.0, 113512.6, 104436.75, 105080.25, 108215.75, 106883.25, 101968.5, 108587.5, 102348.0, 105859.25, 99848.75, 100481.5, 99483.5
2400-3000, 116771.2, 113757.75, 118255.25, 115719.2, 113837.0, 113412.25, 117105.75, 110751.75, 110414.5, 113061.25, 107545.5, 109549.0, 137473.75, 112583.0, 108853.5
3000-3600, 127482.6, 127185.0, 129036.5, 140516.6, 146020.25, 126676.25, 115915.5, 116506.75, 116342.0, 117153.25, 127563.25, 120001.5, 120034.0, 128487.25, 119599.25
3600-4200, 143241.6, 155685.5, 146183.25, 148675.6, 132093.5, 130180.75, 133683.0, 151126.25, 157039.0, 122866.75, 128303.0, 125173.5, 120675.5, 131330.0, 126405.5
4200-4800, 168507.6, 172261.75, 159440.5, 153519.8, 152772.0, 154513.0, 140925.25, 135744.0, 141326.5, 138901.5, 152179.75, 156469.25, 134524.5, 137824.75, 140184.75
4800-5400, 186498.0, 199940.75, 176135.25, 168719.4, 178143.5, 165661.25, 162958.75, 159162.0, 164441.25, 186700.5, 160042.5, 180682.75, 151433.75, 147804.0, 148560.25
5400-6000, 224391.0, 211309.5, 227913.75, 203488.6, 211803.5, 205223.5, 178674.75, 188627.5, 188686.75, 197971.0, 182845.75, 190514.25, 184826.5, 172451.25, 155726.75
6000-6600, 275487.0, 264913.5, 264507.5, 234756.4, 246940.0, 242580.75, 232482.0, 200662.5, 221352.25, 230093.75, 211972.25, 197106.0, 210703.25, 194817.25, 187417.5
6600-7200, 320806.8, 327377.25, 338105.5, 238935.6, 262886.25, 292523.75, 263056.0, 250097.5, 243121.0, 220511.25, 245827.0, 238560.0, 210564.25, 223525.5, 249867.75
7200-7800, 327313.4, 367417.75, 376310.25, 303821.2, 273792.5, 332839.0, 291607.25, 304650.75, 290945.25, 237565.75, 253375.0, 260767.75, 243204.75, 233196.0, 241831.0
7800-8400, 397121.2, 407000.25, 393566.25, 340907.2, 308350.25, 379484.5, 333563.25, 357533.75, 331412.75, 311752.0, 305526.5, 309656.25, 293699.5, 286373.75, 291357.75
