contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 168.6, 199.0, 208.75, 165.2, 182.25, 194.5, 162.25, 173.75, 187.5, 159.5, 173.25, 183.25, 159.0, 173.5, 180.75
600-1200, 133.4, 159.25, 174.5, 131.8, 157.25, 162.0, 124.75, 145.75, 151.25, 124.75, 142.5, 151.5, 121.5, 132.5, 142.0
1200-1800, 98.2, 126.5, 135.0, 95.0, 118.75, 128.25, 88.25, 106.25, 113.0, 101.75, 98.75, 107.25, 87.25, 92.75, 99.0
1800-2400, 94.0, 126.25, 128.5, 83.4, 98.25, 113.5, 80.0, 102.0, 100.5, 77.5, 89.75, 96.0, 71.25, 83.5, 89.0
2400-3000, 93.4, 118.5, 128.75, 83.0, 108.5, 114.5, 86.25, 87.25, 100.5, 76.75, 85.0, 91.5, 78.0, 81.0, 87.75
3000-3600, 98.8, 118.25, 133.25, 84.2, 116.5, 122.25, 75.75, 93.0, 98.25, 70.5, 91.75, 99.25, 69.25, 88.75, 86.0
3600-4200, 105.8, 138.75, 168.5, 96.6, 130.25, 128.25, 88.5, 107.25, 122.25, 67.0, 93.5, 92.5, 69.75, 89.5, 109.5
4200-4800, 123.4, 170.75, 171.25, 99.2, 125.0, 137.75, 86.5, 118.75, 124.0, 77.75, 118.0, 116.5, 79.5, 106.25, 106.25
4800-5400, 132.6, 182.75, 205.75, 108.8, 133.75, 197.75, 99.5, 110.25, 128.0, 82.25, 132.5, 132.25, 78.5, 91.0, 97.75
5400-6000, 155.4, 185.25, 251.75, 121.2, 158.25, 183.75, 104.0, 153.5, 137.0, 104.5, 118.0, 131.0, 95.75, 107.0, 110.5
6000-6600, 180.4, 232.5, 277.75, 135.0, 178.75, 210.0, 127.5, 146.25, 153.25, 109.0, 131.0, 156.75, 100.5, 112.25, 152.0
6600-7200, 202.8, 321.5, 336.75, 131.2, 185.5, 266.5, 138.5, 192.75, 167.25, 128.0, 136.0, 149.75, 100.75, 173.0, 140.25
7200-7800, 209.8, 281.25, 342.0, 177.2, 212.25, 294.0, 172.0, 221.75, 246.25, 140.5, 158.0, 201.75, 103.25, 145.0, 144.25
7800-8400, 246.0, 327.25, 350.75, 191.0, 218.75, 325.25, 159.0, 205.5, 218.0, 175.5, 183.5, 204.75, 152.25, 153.0, 235.25
