contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 1.2, 2.0, 2.75, 1.6, 1.75, 2.25, 1.25, 1.5, 1.75, 1.0, 1.25, 1.75, 1.0, 1.25, 1.75
600-1200, 1.6, 2.5, 2.75, 1.8, 3.0, 2.0, 1.25, 2.0, 2.0, 1.0, 1.5, 2.25, 1.0, 1.5, 2.25
1200-1800, 2.8, 7.5, 6.0, 5.4, 9.25, 10.0, 3.25, 6.0, 8.0, 15.75, 2.75, 7.0, 10.25, 3.5, 2.25
1800-2400, 7.2, 17.0, 8.25, 8.6, 9.25, 9.0, 9.0, 16.0, 10.0, 9.5, 9.75, 6.5, 9.25, 7.0, 5.0
2400-3000, 12.0, 18.5, 19.25, 12.8, 22.75, 15.5, 21.5, 11.0, 17.75, 16.25, 13.0, 12.75, 12.75, 10.5, 13.5
3000-3600, 24.4, 15.5, 20.0, 18.4, 27.75, 26.25, 16.25, 23.75, 19.5, 13.5, 21.25, 23.5, 13.5, 22.0, 13.75
3600-4200, 25.4, 29.0, 52.5, 29.6, 50.75, 34.25, 27.5, 28.5, 39.25, 14.5, 24.75, 19.0, 20.5, 26.0, 40.75
4200-4800, 28.6, 57.75, 42.0, 32.4, 38.0, 34.5, 25.0, 47.25, 41.75, 23.25, 49.25, 42.75, 28.75, 42.0, 36.5
4800-5400, 42.2, 51.75, 74.25, 35.0, 39.5, 90.25, 35.0, 33.0, 39.0, 27.75, 63.5, 54.0, 26.0, 27.5, 28.25
5400-6000, 50.0, 50.0, 97.0, 39.6, 50.75, 63.5, 37.25, 65.25, 39.75, 39.0, 39.5, 50.0, 36.25, 38.75, 39.25
6000-6600, 63.4, 79.0, 110.5, 49.0, 62.5, 68.0, 51.0, 60.0, 44.0, 38.0, 48.5, 64.0, 41.0, 37.5, 70.75
6600-7200, 64.4, 145.0, 116.5, 46.2, 62.25, 98.0, 56.5, 89.75, 59.75, 63.75, 49.75, 53.75, 41.25, 94.0, 44.5
7200-7800, 74.4, 81.5, 114.5, 68.8, 90.25, 119.75, 83.0, 102.25, 125.5, 72.25, 66.25, 94.75, 35.25, 65.75, 52.0
7800-8400, 88.8, 113.75, 130.0, 82.0, 89.5, 133.0, 61.25, 77.75, 87.25, 95.25, 82.0, 84.5, 76.5, 64.5, 133.75
