contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 1.8, 2.25, 1.5, 2.2, 1.5, 1.25, 2.0, 2.5, 1.25, 1.5, 2.25, 2.5, 1.75, 1.0, 1.5
600-1200, 2.8, 3.0, 5.0, 3.0, 3.25, 3.5, 3.75, 2.25, 5.0, 3.0, 5.25, 3.25, 2.25, 5.25, 5.25
1200-1800, 5.6, 6.25, 6.0, 7.4, 5.75, 6.5, 8.0, 8.75, 9.5, 6.5, 6.75, 8.75, 4.75, 7.0, 8.5
1800-2400, 7.0, 9.5, 10.75, 8.8, 8.0, 8.5, 8.0, 9.75, 11.25, 9.5, 9.5, 12.25, 8.75, 11.0, 14.25
2400-3000, 10.6, 8.5, 13.0, 10.0, 12.25, 10.75, 10.75, 12.75, 12.5, 10.5, 13.5, 13.75, 10.75, 16.0, 15.0
3000-3600, 10.8, 12.0, 11.25, 10.6, 13.0, 13.75, 14.25, 16.5, 17.75, 14.25, 14.5, 18.25, 15.0, 15.25, 18.0
3600-4200, 11.4, 11.75, 14.0, 12.8, 15.25, 17.25, 15.75, 18.0, 17.75, 15.0, 15.5, 23.0, 14.25, 21.0, 22.25
4200-4800, 13.0, 13.25, 14.0, 13.6, 16.5, 14.25, 18.25, 16.75, 21.0, 14.75, 19.5, 23.5, 18.75, 22.75, 23.25
4800-5400, 14.6, 14.75, 14.5, 17.4, 20.0, 18.75, 20.75, 22.0, 20.75, 19.75, 23.0, 23.0, 22.25, 23.25, 25.75
5400-6000, 14.2, 15.25, 17.25, 19.6, 20.0, 21.75, 19.25, 21.5, 23.5, 21.75, 27.75, 26.75, 23.75, 26.0, 31.5
6000-6600, 15.6, 16.0, 16.0, 18.2, 22.0, 21.25, 23.5, 23.0, 28.0, 23.0, 28.0, 25.5, 23.5, 28.75, 33.0
6600-7200, 15.0, 15.75, 16.25, 20.0, 22.5, 21.75, 24.5, 25.5, 26.0, 23.0, 26.5, 35.0, 25.5, 28.5, 35.0
7200-7800, 15.0, 16.25, 17.25, 20.6, 23.5, 22.5, 25.5, 23.25, 30.25, 29.25, 27.25, 32.75, 25.25, 32.5, 33.25
7800-8400, 16.8, 17.5, 16.5, 21.6, 23.5, 22.75, 26.0, 26.25, 29.0, 30.0, 30.75, 36.0, 31.25, 34.75, 34.0
