Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90609.5, 90972.0, 1.5, 166.0, 82.5, 164.5, 1.5, 0.0, 0.0568756247322576, 18900.0, 36600.0, 55200.0, 72900.0, 90900.0
600-1200, 92582.0, 93216.5, 3.0, 136.0, 135.0, 134.0, 2.0, 0.0, 0.07603716436720416, 19800.0, 37500.0, 55200.0, 74100.0, 93000.0
1200-1800, 93402.0, 97278.5, 5.5, 91.0, 88.0, 86.5, 4.0, 0.0, 0.2588367486011017, 25200.0, 40500.0, 64200.0, 79800.0, 97200.0
1800-2400, 98373.0, 116591.0, 6.5, 89.0, 84.0, 75.5, 5.0, 0.0, 0.48943173447202504, 29400.0, 48000.0, 67200.0, 82200.0, 116400.0
2400-3000, 101978.5, 123037.5, 10.0, 82.5, 75.0, 67.0, 7.0, 0.0, 0.9142342763233453, 36600.0, 57300.0, 76500.0, 92700.0, 123000.0
3000-3600, 117324.0, 148759.5, 12.0, 92.0, 82.0, 72.0, 13.0, 0.0, 1.6464198929762426, 47100.0, 67200.0, 45300.0, 0.0, 148500.0
3600-4200, 118271.5, 159927.5, 12.0, 84.0, 72.5, 63.5, 16.0, 0.0, 2.473704530435552, 31200.0, 79800.0, 0.0, 56100.0, 159600.0
4200-4800, 128521.0, 184732.5, 13.0, 95.5, 81.5, 68.0, 19.5, 0.0, 2.8635151195773023, 40200.0, 0.0, 53100.0, 59100.0, 184500.0
4800-5400, 152504.0, 254964.0, 13.5, 117.5, 93.5, 70.0, 25.0, 0.0, 4.893340402908818, 45300.0, 0.0, 0.0, 0.0, 254700.0
5400-6000, 164619.5, 308389.0, 12.5, 130.0, 112.5, 71.0, 33.0, 0.0, 6.830455697151912, 0.0, 0.0, 0.0, 112500.0, 308100.0
6000-6600, 167841.5, 335374.0, 14.5, 144.5, 88.5, 74.5, 37.0, 0.0, 4.522447123620648, 0.0, 72900.0, 82500.0, 97200.0, 335100.0
6600-7200, 180713.5, 353665.5, 13.5, 147.5, 114.5, 73.0, 45.5, 0.0, 8.451956489073488, 0.0, 0.0, 0.0, 112200.0, 353400.0
7200-7800, 228736.5, 357319.0, 16.0, 147.0, 102.5, 87.5, 64.5, 0.0, 10.246188392652394, 121500.0, 0.0, 0.0, 147600.0, 357000.0
7800-8400, 267202.0, 604293.0, 17.0, 225.0, 152.5, 98.5, 67.0, 0.0, 10.104795259374836, 0.0, 168900.0, 0.0, 0.0, 603900.0
