Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90691.75, 91120.0, 1.25, 187.5, 46.75, 185.75, 1.75, 0.0, 0.21307038978923065
600-1200, 91897.0, 93402.0, 5.0, 151.25, 149.5, 148.5, 2.0, 0.0, 0.2270534531834091
1200-1800, 94478.25, 103209.0, 9.5, 113.0, 108.25, 102.5, 8.0, 0.0, 0.5958140887417656
1800-2400, 101968.5, 114027.0, 11.25, 100.5, 94.25, 89.25, 10.0, 0.0, 0.705661594353813
2400-3000, 110414.5, 135458.75, 12.5, 100.5, 92.75, 81.5, 17.75, 0.0, 1.710880974827269
3000-3600, 116342.0, 147558.5, 17.75, 98.25, 82.75, 76.0, 19.5, 0.0, 1.967367494836417
3600-4200, 157039.0, 202592.0, 17.75, 122.25, 108.25, 94.0, 39.25, 0.0, 5.679549775418383
4200-4800, 141326.5, 223807.5, 21.0, 124.0, 101.75, 78.5, 41.75, 0.0, 7.069181910596528
4800-5400, 164441.25, 246681.75, 20.75, 128.0, 107.25, 85.5, 39.0, 0.0, 6.440371523557666
5400-6000, 188686.75, 275575.5, 23.5, 137.0, 110.75, 93.75, 39.75, 0.0, 6.4179928945665905
6000-6600, 221352.25, 324669.5, 28.0, 153.25, 119.75, 105.25, 44.0, 0.0, 6.5223192854012595
6600-7200, 243121.0, 381835.25, 26.0, 167.25, 134.5, 106.0, 59.75, 0.0, 10.39326641237291
7200-7800, 290945.25, 588691.0, 30.25, 246.25, 199.0, 124.5, 125.5, 0.0, 31.33342431734411
7800-8400, 331412.75, 536597.75, 29.0, 218.0, 160.25, 136.75, 87.25, 0.0, 16.206195059205722
