contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 0.0568756247322576, 0.090449265202094, 0.2286108871438921, 0.04411375661375662, 0.08191559876270438, 0.08475863490821267, 0.011399787910922587, 0.10147709791183693, 0.048333809776616166, 0.016531068038605726, 0.10804320234925219, 0.08543771043771044, 0.01368979567906663, 0.02418546365914787, 0.12752501266464034
600-1200, 0.07603716436720416, 0.2226337448559671, 0.15820738958227087, 0.04777920017604037, 0.09977234594302573, 0.2516847605937296, 0.04810229472130554, 0.09081920355928039, 0.16922551896191926, 0.01286596319733286, 0.08606381766381767, 0.2713264287164261, 0.09469533275713052, 0.010935577633477106, 0.06818401883761362
1200-1800, 0.2588367486011017, 0.4485228978149709, 0.499483275255261, 0.13014908000925784, 0.27983329724010236, 0.3782008696875467, 0.12226308717863149, 0.14250528981036534, 0.3246275224754297, 0.11946433236040234, 0.16946107249146813, 0.21821539000226697, 0.06675280374392681, 0.26298288232872724, 0.1524657004577618
1800-2400, 0.48943173447202504, 0.9299115381288763, 1.0068798939694419, 0.4760320393055526, 0.627636810637332, 0.8789281880622932, 0.4668597516521238, 0.5151305862135264, 0.7532153124156966, 0.26086839742133544, 0.539372489890232, 0.5523486748726756, 0.3487708008347248, 0.40127750621286684, 0.5457070425044768
2400-3000, 0.9142342763233453, 1.6476925086486, 2.2552056533593023, 0.8024719988639594, 1.0894738481225972, 1.4923418927233207, 0.7917694491382832, 1.033347892968652, 1.1304805153576893, 0.6279211446526621, 0.7852245599368628, 0.7958427770806539, 0.46727938607518144, 0.7065068630843925, 0.8959959010424803
3000-3600, 1.6464198929762426, 2.0112062232467793, 2.1964808713715174, 1.330764773693589, 1.7032285147743162, 2.003138954699176, 1.223945748399517, 1.356203994293518, 1.592637539478623, 0.8426592206535366, 1.2361390257784823, 1.3812162806284594, 0.8880833977568536, 1.0315331466187005, 1.2514098694695317
3600-4200, 2.473704530435552, 3.0429533052162183, 3.5530502871205014, 1.5618494020426619, 1.7652554480867664, 2.681891858430789, 1.4587810002385146, 2.0706638277321336, 1.9927669997888309, 1.1756710541636637, 1.3969887515760218, 1.6000485660692976, 1.124530941392715, 1.4245182295029921, 1.538914681351712
4200-4800, 2.8635151195773023, 3.912684278374444, 4.375269282074129, 1.5261626051633082, 3.222594242653572, 4.129236741173551, 1.8584971700728738, 2.0668835730440875, 2.6375326299243413, 1.594861930723199, 2.019267147225374, 2.3249934166498374, 1.3698046813651998, 1.6217234242644054, 1.9750278511267072
4800-5400, 4.893340402908818, 5.949336939510439, 8.11768470043715, 3.4385475298680115, 3.5724533693012672, 4.920390698743811, 2.9252515974104383, 2.72086291847649, 3.284968152418255, 1.8545328444200144, 2.8968143407838194, 2.1177066949582595, 1.92783811010866, 2.5075439003907087, 2.4983669502674832
5400-6000, 6.830455697151912, 8.306325737765285, 8.395859752057993, 3.589842070947557, 4.923210842378341, 6.034029402372461, 2.8987823403670463, 3.5567426455180815, 3.9813777128376753, 2.568639833651197, 2.4658711026061573, 3.7850569963711553, 2.66852635190974, 2.3145155892966445, 2.960871897984455
6000-6600, 4.522447123620648, 8.16593708802051, 9.095705619331904, 5.5973898810161655, 4.142089320188708, 7.902091599918793, 3.864966323314289, 3.3662380738015574, 5.7716162770086115, 2.986626398375558, 3.1724976406818124, 4.186069089122739, 2.979172890010598, 3.6570707671901355, 4.093533690485384
6600-7200, 8.451956489073488, 10.112118312725675, 15.547450720573845, 5.047137027805047, 7.0801861913481385, 9.894294993975697, 3.7987578212397377, 4.589798696214007, 4.8773046249481276, 3.3488129134003692, 3.7465498689861207, 4.396846531198813, 2.4778878350941236, 4.251898420738803, 4.089266222510806
7200-7800, 10.246188392652394, 11.451595836885382, 18.70151604310439, 5.651305708620761, 6.71046602480496, 11.522559140764363, 5.855944239675958, 6.536091207765945, 4.662744284013588, 4.233757077823811, 3.745463150527241, 4.562850877590421, 3.4159099295786124, 4.507198610463493, 4.631242818849685
7800-8400, 10.104795259374836, 14.859303680816325, 16.901951321559256, 4.862267707603509, 7.191583944846958, 13.29645966340266, 5.81383805933228, 6.106193331511006, 8.347525326475287, 4.591761927316252, 5.486169869146069, 6.488398131888138, 3.550409526650078, 4.816105545786442, 4.79024818619619
