contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 164.5, 189.0, 209.5, 161.0, 180.0, 191.0, 155.0, 182.0, 184.0, 157.0, 170.0, 186.5, 157.5, 166.5, 172.5
600-1200, 134.0, 158.5, 165.5, 129.5, 140.0, 154.0, 116.5, 139.5, 143.5, 119.0, 135.0, 147.5, 124.0, 131.5, 136.5
1200-1800, 86.5, 113.0, 124.5, 83.0, 100.0, 114.0, 79.5, 96.0, 105.5, 75.5, 94.0, 96.5, 75.0, 89.0, 89.5
1800-2400, 75.5, 90.0, 108.5, 65.0, 84.5, 93.5, 65.5, 76.5, 86.0, 62.5, 79.0, 76.0, 61.5, 76.0, 78.5
2400-3000, 67.0, 88.5, 107.5, 62.5, 74.0, 84.0, 55.0, 67.5, 76.0, 53.0, 69.0, 71.5, 49.0, 61.5, 66.5
3000-3600, 72.0, 89.0, 97.5, 58.0, 69.0, 75.5, 53.0, 66.5, 67.0, 48.5, 63.0, 68.0, 47.5, 56.0, 65.0
3600-4200, 63.5, 79.5, 88.0, 61.5, 72.5, 74.5, 48.5, 62.0, 68.5, 46.0, 59.5, 70.5, 43.5, 52.5, 61.0
4200-4800, 68.0, 90.5, 94.5, 60.5, 77.0, 81.0, 51.0, 64.5, 70.0, 42.0, 58.0, 60.5, 43.5, 53.0, 61.0
4800-5400, 70.0, 91.5, 118.5, 58.0, 81.0, 89.5, 49.0, 67.5, 74.5, 48.5, 54.0, 65.0, 46.0, 56.0, 62.0
5400-6000, 71.0, 96.5, 107.0, 64.5, 83.5, 86.5, 53.0, 60.0, 76.5, 47.5, 60.0, 69.0, 45.0, 56.5, 64.0
6000-6600, 74.5, 99.0, 115.5, 67.5, 88.0, 101.5, 52.5, 76.0, 83.0, 53.5, 64.0, 85.0, 48.5, 56.0, 79.0
6600-7200, 73.0, 139.0, 124.5, 79.0, 86.5, 115.5, 57.5, 71.0, 89.0, 49.0, 69.5, 77.0, 46.0, 78.0, 73.5
7200-7800, 87.5, 142.5, 177.0, 67.0, 102.5, 120.0, 74.0, 82.5, 98.0, 68.5, 76.0, 80.5, 52.0, 67.5, 72.5
7800-8400, 98.5, 136.5, 164.5, 92.0, 138.0, 139.5, 81.5, 101.0, 109.0, 68.0, 90.5, 94.5, 65.0, 76.0, 74.5
