contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 166.0, 191.0, 211.5, 163.0, 182.0, 192.5, 157.0, 183.5, 186.5, 159.0, 171.5, 188.0, 159.5, 168.5, 174.5
600-1200, 136.0, 161.0, 169.5, 132.0, 143.5, 159.5, 118.5, 142.5, 147.5, 121.5, 137.0, 150.5, 126.5, 133.5, 140.0
1200-1800, 91.0, 121.5, 131.5, 89.0, 104.5, 121.5, 83.5, 101.0, 111.5, 80.0, 98.5, 101.5, 78.0, 94.5, 94.5
1800-2400, 89.0, 100.5, 122.0, 73.5, 94.0, 114.0, 75.5, 82.0, 94.5, 70.0, 86.5, 81.5, 68.5, 83.0, 85.5
2400-3000, 82.5, 105.0, 121.5, 75.0, 85.0, 110.0, 70.0, 78.5, 96.0, 63.0, 88.5, 92.0, 57.5, 76.5, 84.5
3000-3600, 92.0, 121.5, 130.5, 82.0, 86.5, 99.0, 69.0, 80.5, 86.0, 60.5, 81.5, 83.5, 61.5, 67.0, 93.5
3600-4200, 84.0, 104.0, 112.0, 82.5, 109.0, 103.0, 73.5, 77.0, 106.5, 78.5, 84.5, 104.5, 65.0, 81.0, 79.0
4200-4800, 95.5, 152.0, 151.0, 88.5, 113.0, 127.0, 73.5, 109.5, 105.5, 69.0, 83.5, 95.5, 71.5, 84.5, 81.5
4800-5400, 117.5, 151.5, 153.5, 98.0, 111.0, 133.5, 70.5, 123.5, 130.5, 70.0, 107.0, 138.0, 74.0, 87.0, 112.0
5400-6000, 130.0, 140.5, 169.5, 125.0, 128.5, 177.5, 84.0, 90.5, 130.0, 88.0, 112.5, 146.0, 72.5, 121.0, 108.0
6000-6600, 144.5, 161.5, 198.0, 120.0, 127.5, 177.5, 90.0, 134.0, 152.5, 118.0, 180.5, 147.5, 85.5, 133.0, 116.0
6600-7200, 147.5, 192.5, 235.5, 153.5, 141.0, 194.0, 97.0, 153.0, 183.0, 124.0, 129.0, 132.5, 86.5, 138.5, 131.0
7200-7800, 147.0, 259.5, 272.0, 143.5, 184.0, 217.0, 121.5, 156.0, 161.0, 120.0, 192.0, 213.5, 88.5, 135.5, 177.0
7800-8400, 225.0, 235.5, 330.5, 172.0, 231.0, 248.5, 149.0, 166.0, 199.5, 149.5, 127.5, 151.5, 107.0, 148.0, 173.0
