contact freq, node20_winners3_RT_RW_RSC_RC, node20_winners6_RT_RW_RSC_RC, node20_winners9_RT_RW_RSC_RC, node30_winners3_RT_RW_RSC_RC, node30_winners6_RT_RW_RSC_RC, node30_winners9_RT_RW_RSC_RC, node40_winners3_RT_RW_RSC_RC, node40_winners6_RT_RW_RSC_RC, node40_winners9_RT_RW_RSC_RC, node50_winners3_RT_RW_RSC_RC, node50_winners6_RT_RW_RSC_RC, node50_winners9_RT_RW_RSC_RC, node60_winners3_RT_RW_RSC_RC, node60_winners6_RT_RW_RSC_RC, node60_winners9_RT_RW_RSC_RC
0-600, 1.5, 2.0, 2.5, 1.0, 1.5, 2.5, 1.0, 1.5, 2.0, 1.0, 1.0, 1.5, 1.0, 1.0, 1.5
600-1200, 2.0, 3.0, 3.0, 2.0, 2.0, 2.5, 1.5, 2.0, 2.5, 1.5, 2.0, 2.0, 1.0, 1.5, 1.5
1200-1800, 4.0, 4.5, 7.0, 2.5, 4.0, 4.0, 2.5, 3.5, 4.0, 3.0, 3.0, 3.0, 1.5, 3.5, 2.5
1800-2400, 5.0, 7.5, 8.5, 4.0, 6.0, 7.0, 4.5, 4.5, 6.5, 3.0, 5.0, 4.5, 4.0, 4.5, 7.0
2400-3000, 7.0, 13.0, 16.0, 5.5, 9.0, 11.0, 6.0, 8.0, 9.0, 5.5, 6.0, 7.0, 4.5, 6.0, 7.0
3000-3600, 13.0, 15.5, 16.0, 9.5, 12.0, 14.0, 9.0, 10.5, 12.5, 6.5, 9.5, 9.0, 8.0, 8.0, 8.5
3600-4200, 16.0, 21.5, 24.0, 10.5, 14.0, 17.0, 10.5, 13.5, 15.5, 9.5, 12.0, 13.0, 8.5, 11.5, 10.5
4200-4800, 19.5, 30.0, 35.0, 13.0, 19.0, 21.5, 15.5, 15.5, 21.5, 10.0, 17.0, 16.5, 11.5, 12.5, 12.5
4800-5400, 25.0, 37.5, 39.5, 21.5, 24.5, 31.5, 17.5, 18.0, 22.0, 15.0, 22.5, 21.5, 12.0, 19.0, 18.5
5400-6000, 33.0, 39.0, 57.0, 21.5, 34.0, 42.0, 20.5, 24.0, 30.5, 17.5, 22.5, 27.0, 17.5, 18.0, 19.5
6000-6600, 37.0, 58.5, 69.0, 38.5, 32.0, 43.0, 25.5, 33.5, 38.0, 18.0, 30.5, 32.5, 22.0, 24.0, 28.0
6600-7200, 45.5, 51.0, 74.0, 31.5, 54.0, 71.5, 28.0, 43.5, 39.0, 23.5, 37.0, 39.0, 17.5, 27.5, 34.0
7200-7800, 64.5, 85.0, 93.5, 38.0, 43.5, 68.0, 38.0, 43.0, 41.0, 34.5, 33.0, 35.5, 25.5, 33.5, 35.5
7800-8400, 67.0, 93.0, 111.0, 36.0, 53.5, 83.5, 43.5, 47.5, 65.5, 30.5, 49.0, 47.5, 32.5, 41.0, 42.5
