Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90385.5, 90858.5, 2.0, 171.5, 87.0, 170.0, 1.0, 0.0, 0.10804320234925219, 18900.0, 36900.0, 55500.0, 72600.0, 90600.0
600-1200, 91653.5, 92468.5, 4.0, 137.0, 136.0, 135.0, 2.0, 0.0, 0.08606381766381767, 20100.0, 37800.0, 55800.0, 73500.0, 92100.0
1200-1800, 94680.5, 97792.5, 8.0, 98.5, 95.5, 94.0, 3.0, 0.0, 0.16946107249146813, 27300.0, 43200.0, 62400.0, 79500.0, 97500.0
1800-2400, 98588.5, 107333.0, 14.0, 86.5, 82.0, 79.0, 5.0, 0.0, 0.539372489890232, 37200.0, 23700.0, 66600.0, 83700.0, 106500.0
2400-3000, 104102.5, 131707.5, 16.5, 88.5, 80.5, 69.0, 6.0, 0.0, 0.7852245599368628, 37200.0, 25500.0, 0.0, 43500.0, 131400.0
3000-3600, 108993.0, 139204.5, 12.5, 81.5, 70.5, 63.0, 9.5, 0.0, 1.2361390257784823, 50400.0, 68700.0, 39300.0, 0.0, 138900.0
3600-4200, 119110.5, 166886.5, 22.0, 84.5, 72.5, 59.5, 12.0, 0.0, 1.3969887515760218, 29100.0, 37200.0, 51900.0, 58500.0, 166500.0
4200-4800, 129168.5, 186528.5, 19.5, 83.5, 69.5, 58.0, 17.0, 0.0, 2.019267147225374, 35700.0, 69600.0, 0.0, 75000.0, 186300.0
4800-5400, 133788.5, 253750.0, 24.0, 107.0, 79.0, 54.0, 22.5, 0.0, 2.8968143407838194, 0.0, 0.0, 0.0, 75000.0, 253500.0
5400-6000, 150820.0, 283915.0, 26.0, 112.5, 83.5, 60.0, 22.5, 0.0, 2.4658711026061573, 46800.0, 0.0, 0.0, 0.0, 283500.0
6000-6600, 167554.5, 473033.5, 30.0, 180.5, 148.0, 64.0, 30.5, 0.0, 3.1724976406818124, 64800.0, 87300.0, 0.0, 0.0, 472500.0
6600-7200, 196491.0, 352153.0, 27.0, 129.0, 102.5, 69.5, 37.0, 0.0, 3.7465498689861207, 56700.0, 0.0, 103800.0, 0.0, 351900.0
7200-7800, 212162.0, 561349.5, 31.5, 192.0, 132.0, 76.0, 33.0, 0.0, 3.745463150527241, 0.0, 0.0, 0.0, 0.0, 561000.0
7800-8400, 269785.0, 391636.0, 31.0, 127.5, 93.0, 90.5, 49.0, 0.0, 5.486169869146069, 0.0, 0.0, 0.0, 0.0, 391200.0
