Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90897, 90930, 1, 224, None, 222, 3, 0, 0.3909749670619236
600-1200, 93039, 93941, 4, 181, 179, 176, 3, 0, 0.2833333333333333
1200-1800, 96110, 103467, 6, 141, 135, 131, 5, 0, 0.48242027800490594
1800-2400, 103743, 124747, 13, 135, 127, 114, 17, 0, 1.1064453125
2400-3000, 113562, 127992, 8, 130, 118, 111, 13, 0, 1.0578947368421052
3000-3600, 127838, 144103, 9, 122, 108, 106, 12, 0, 1.1677018633540373
3600-4200, 157659, 224648, 17, 181, 148, 124, 51, 0, 7.550185873605948
4200-4800, 186826, 274261, 17, 211, 188, 139, 68, 0, 11.251207729468598
4800-5400, 227752, 324797, 14, 219, 187, 156, 88, 0, 15.486040609137056
5400-6000, 228762, 336878, 13, 222, 188, 156, 62, 0, 9.402542372881356
6000-6600, 292301, 370522, 16, 248, 205, 192, 51, 0, 8.594160583941607
6600-7200, 324170, 486366, 16, 309, 256, 212, 104, 0, 16.244444444444444
7200-7800, 371747, 751385, 15, 431, 367, 211, 228, 0, 53.78343313373254
7800-8400, 505483, 767848, 18, 446, 375, 294, 150, 0, 30.004044489383215
