Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90612, 90612, 1, 166, None, 165, 2, 0, 0.09361702127659574, 19200, 36000, 55800, 72600, 90600
600-1200, 93273, 93882, 4, 139, 138, 137, 2, 0, 0.0921409214092141, 19800, 37200, 55200, 73800, 93600
1200-1800, 93770, 97866, 5, 90, 86, 85, 4, 0, 0.28109681372549017, 24000, 40200, 63000, 82200, 97800
1800-2400, 100015, 114953, 7, 87, 83, 75, 4, 0, 0.4367552703941338, 28200, 50400, 69000, 82800, 114600
2400-3000, 102832, 120055, 10, 78, 70, 67, 7, 0, 0.783820584701642, 39000, 59400, 79200, 91800, 120000
3000-3600, 116085, 144263, 13, 90, 79, 71, 14, 0, 1.6135240572171652, 49200, 73800, 90600, None, 144000
3600-4200, 116466, 167082, 13, 87, 78, 64, 14, 0, 2.473530289465831, 62400, 85800, None, 112200, 166800
4200-4800, 126731, 180863, 14, 93, 81, 68, 17, 0, 2.8986921850079743, 80400, None, 106200, None, 180600
4800-5400, 161439, 274554, 15, 123, 95, 74, 27, 0, 5.69424216765453, None, None, None, None, 274200
5400-6000, 176058, 291283, 12, 121, 104, 77, 34, 0, 6.6141149300366795, None, None, None, 225000, 291000
6000-6600, 180779, 395110, 15, 157, 90, 74, 31, 0, 5.098690124566585, None, 145800, 165000, 194400, 394800
6600-7200, 172825, 300818, 12, 126, 91, 74, 47, 0, 8.671881728146978, None, None, None, None, 300600
7200-7800, 244257, 388407, 16, 164, 116, 95, 71, 0, 9.112802810824139, 243000, None, None, 295200, 388200
7800-8400, 270002, 572177, 17, 208, 110, 97, 75, 0, 9.309260307819015, None, 337800, None, None, 571800
