Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90273, 90795, 2, 175, 174, 173, 2, 0, 0.14314998291766315
600-1200, 91880, 94360, 3, 140, 139, 137, 2, 0, 0.15125628140703518
1200-1800, 104135, 106945, 9, 108, 105, 104, 8, 0, 0.39177978883861236
1800-2400, 107131, 119059, 12, 99, 93, 87, 8, 0, 0.7207293666026872
2400-3000, 109486, 120868, 10, 90, 83, 80, 11, 0, 0.8208770846201359
3000-3600, 112321, 142949, 19, 84, 74, 66, 15, 0, 1.4545454545454546
3600-4200, 210696, 255019, 14, 136, 119, 112, 44, 0, 6.898550724637682
4200-4800, 132211, 196223, 18, 99, 76, 61, 35, 0, 4.012875536480687
4800-5400, 156623, 237803, 24, 112, 87, 75, 31, 0, 4.804878048780488
5400-6000, 201139, 372000, 17, 162, 127, 86, 72, 0, 15.593294460641399
6000-6600, 189048, 286630, 23, 117, 92, 77, 36, 0, 5.870048644892286
6600-7200, 261026, 525235, 26, 213, 180, 107, 103, 0, 21.16432953549518
7200-7800, 273198, 602481, 24, 231, 182, 116, 110, 0, 26.70321199143469
7800-8400, 298155, 518205, 24, 196, 148, 113, 80, 0, 14.865745856353591
